date,obama_sentiment,obama_frequency,obama_date,trump_sentiment,trump_frequency,trump_date,,,
27/02/2010,0.1,1,27/02/2010,,,,,,
28/02/2010,0.25,1,28/02/2010,,,,,,
1/03/2010,0.318181818,1,1/03/2010,,,,,,
3/03/2010,0.034090909,2,3/03/2010,,,,,,
4/03/2010,0,1,4/03/2010,,,,,,
8/03/2010,0.136363636,1,8/03/2010,,,,,,
10/03/2010,0,1,10/03/2010,,,,,,
11/03/2010,0,2,11/03/2010,,,,,,
17/03/2010,0,1,17/03/2010,,,,,,
18/03/2010,-0.156439394,6,18/03/2010,,,,,,
19/03/2010,-0.05,2,19/03/2010,,,,,,
20/03/2010,0,3,20/03/2010,,,,,,
21/03/2010,-0.008664773,8,21/03/2010,,,,,,
23/03/2010,0.068181818,2,23/03/2010,,,,,,
24/03/2010,0,1,24/03/2010,,,,,,
29/03/2010,-1,1,29/03/2010,,,,,,
30/03/2010,0,1,30/03/2010,,,,,,
5/04/2010,0.25,1,5/04/2010,,,,,,
6/04/2010,0.1875,2,6/04/2010,,,,,,
7/04/2010,0.066666667,1,7/04/2010,,,,,,
10/04/2010,-0.475,1,10/04/2010,,,,,,
14/04/2010,0.15,1,14/04/2010,,,,,,
16/04/2010,0,1,16/04/2010,,,,,,
19/04/2010,0,1,19/04/2010,,,,,,
20/04/2010,0,2,20/04/2010,,,,,,
22/04/2010,0,1,22/04/2010,,,,,,
24/04/2010,0,1,24/04/2010,,,,,,
26/04/2010,-0.125883838,2,26/04/2010,,,,,,
30/04/2010,0.164285714,1,30/04/2010,,,,,,
1/05/2010,0.082070707,2,1/05/2010,,,,,,
2/05/2010,0.1,1,2/05/2010,,,,,,
3/05/2010,0,1,3/05/2010,,,,,,
5/05/2010,0,1,5/05/2010,,,,,,
10/05/2010,0.4,2,10/05/2010,,,,,,
11/05/2010,0,1,11/05/2010,,,,,,
12/05/2010,0.276190476,2,12/05/2010,,,,,,
17/05/2010,0.25,2,17/05/2010,,,,,,
20/05/2010,0,1,20/05/2010,,,,,,
21/05/2010,0,1,21/05/2010,,,,,,
26/05/2010,0,1,26/05/2010,,,,,,
27/05/2010,0.068181818,2,27/05/2010,,,,,,
28/05/2010,0.225,1,28/05/2010,,,,,,
31/05/2010,0,1,31/05/2010,,,,,,
2/06/2010,0.014583333,4,2/06/2010,,,,,,
4/06/2010,0,2,4/06/2010,,,,,,
7/06/2010,0.265,1,7/06/2010,,,,,,
9/06/2010,0.1,1,9/06/2010,,,,,,
10/06/2010,-0.064583333,1,10/06/2010,,,,,,
11/06/2010,0.066666667,2,11/06/2010,,,,,,
12/06/2010,0.9,1,12/06/2010,,,,,,
14/06/2010,-0.383333333,1,14/06/2010,,,,,,
15/06/2010,0.166986532,6,15/06/2010,,,,,,
16/06/2010,0,2,16/06/2010,,,,,,
17/06/2010,0,1,17/06/2010,,,,,,
20/06/2010,0.25,1,20/06/2010,,,,,,
21/06/2010,-0.09375,1,21/06/2010,,,,,,
22/06/2010,-0.157142857,2,22/06/2010,,,,,,
23/06/2010,0.625,1,23/06/2010,,,,,,
24/06/2010,0.611111111,1,24/06/2010,,,,,,
28/06/2010,0.35,1,28/06/2010,,,,,,
1/07/2010,0.193073593,3,1/07/2010,,,,,,
2/07/2010,0.146428571,1,2/07/2010,,,,,,
3/07/2010,0.366666667,1,3/07/2010,,,,,,
4/07/2010,-0.097916667,2,4/07/2010,,,,,,
6/07/2010,0,1,6/07/2010,,,,,,
8/07/2010,0.136363636,1,8/07/2010,,,,,,
9/07/2010,0.027678571,1,9/07/2010,,,,,,
13/07/2010,0.055555556,2,13/07/2010,,,,,,
14/07/2010,0.4,1,14/07/2010,,,,,,
15/07/2010,0.468181818,2,15/07/2010,,,,,,
16/07/2010,0.334343434,1,16/07/2010,,,,,,
17/07/2010,-0.0625,1,17/07/2010,,,,,,
20/07/2010,0.169444444,1,20/07/2010,,,,,,
21/07/2010,0.106060606,3,21/07/2010,,,,,,
22/07/2010,0.17037037,1,22/07/2010,,,,,,
26/07/2010,-0.110615079,3,26/07/2010,,,,,,
27/07/2010,-0.014204545,2,27/07/2010,,,,,,
28/07/2010,0.25,1,28/07/2010,,,,,,
2/08/2010,0.1125,2,2/08/2010,,,,,,
4/08/2010,0.35,2,4/08/2010,,,,,,
5/08/2010,0.358333333,3,5/08/2010,,,,,,
9/08/2010,0.058333333,3,9/08/2010,,,,,,
10/08/2010,0.4,2,10/08/2010,,,,,,
12/08/2010,0.45,2,12/08/2010,,,,,,
14/08/2010,0.216666667,2,14/08/2010,,,,,,
20/08/2010,-0.25,1,20/08/2010,,,,,,
21/08/2010,0,1,21/08/2010,,,,,,
24/08/2010,0,1,24/08/2010,,,,,,
25/08/2010,0,1,25/08/2010,,,,,,
27/08/2010,0,1,27/08/2010,,,,,,
29/08/2010,0,1,29/08/2010,,,,,,
30/08/2010,0,1,30/08/2010,,,,,,
31/08/2010,0.228282828,6,31/08/2010,,,,,,
3/09/2010,-0.375,1,3/09/2010,,,,,,
5/09/2010,0.2,1,5/09/2010,,,,,,
6/09/2010,0.1125,2,6/09/2010,,,,,,
7/09/2010,0.35,1,7/09/2010,,,,,,
8/09/2010,0.288888889,1,8/09/2010,,,,,,
9/09/2010,0,2,9/09/2010,,,,,,
11/09/2010,0.234848485,3,11/09/2010,,,,,,
14/09/2010,0.368181818,2,14/09/2010,,,,,,
16/09/2010,0.105519481,2,16/09/2010,,,,,,
17/09/2010,0.208333333,3,17/09/2010,,,,,,
18/09/2010,0.166666667,1,18/09/2010,,,,,,
21/09/2010,0.05,2,21/09/2010,,,,,,
22/09/2010,0,1,22/09/2010,,,,,,
23/09/2010,-0.25,1,23/09/2010,,,,,,
25/09/2010,-0.015909091,1,25/09/2010,,,,,,
27/09/2010,-0.015416667,2,27/09/2010,,,,,,
28/09/2010,0.16875,2,28/09/2010,,,,,,
2/10/2010,0.120833333,1,2/10/2010,,,,,,
5/10/2010,0,1,5/10/2010,,,,,,
6/10/2010,0.375,2,6/10/2010,,,,,,
7/10/2010,0.5,1,7/10/2010,,,,,,
8/10/2010,0.278571429,2,8/10/2010,,,,,,
9/10/2010,0.09,2,9/10/2010,,,,,,
10/10/2010,0.125972222,5,10/10/2010,,,,,,
11/10/2010,0.358928571,1,11/10/2010,,,,,,
12/10/2010,-0.05625,4,12/10/2010,,,,,,
13/10/2010,0.233333333,2,13/10/2010,,,,,,
14/10/2010,0.156060606,3,14/10/2010,,,,,,
16/10/2010,0.034992785,3,16/10/2010,,,,,,
17/10/2010,0.050585962,7,17/10/2010,,,,,,
19/10/2010,0.016666667,1,19/10/2010,,,,,,
21/10/2010,0,2,21/10/2010,,,,,,
22/10/2010,0.65,1,22/10/2010,,,,,,
23/10/2010,0.15,2,23/10/2010,,,,,,
24/10/2010,0.2,2,24/10/2010,,,,,,
25/10/2010,0,2,25/10/2010,,,,,,
26/10/2010,0.05,2,26/10/2010,,,,,,
27/10/2010,0.068181818,2,27/10/2010,,,,,,
28/10/2010,0,2,28/10/2010,,,,,,
29/10/2010,0.267857143,2,29/10/2010,,,,,,
30/10/2010,0,4,30/10/2010,,,,,,
31/10/2010,0.8,1,31/10/2010,,,,,,
1/11/2010,0.1,6,1/11/2010,,,,,,
2/11/2010,0.032738095,7,2/11/2010,,,,,,
3/11/2010,0.068181818,2,3/11/2010,,,,,,
4/11/2010,0,1,4/11/2010,,,,,,
5/11/2010,0.136363636,1,5/11/2010,,,,,,
7/11/2010,0,1,7/11/2010,,,,,,
11/11/2010,0,1,11/11/2010,,,,,,
12/11/2010,0.357142857,1,12/11/2010,,,,,,
13/11/2010,0.416666667,1,13/11/2010,,,,,,
17/11/2010,-0.75,1,17/11/2010,,,,,,
18/11/2010,-0.194444444,1,18/11/2010,,,,,,
19/11/2010,0,2,19/11/2010,,,,,,
21/11/2010,0.136363636,1,21/11/2010,,,,,,
1/12/2010,0.095238095,3,1/12/2010,,,,,,
2/12/2010,0.4,1,2/12/2010,,,,,,
7/12/2010,0.042857143,2,7/12/2010,,,,,,
9/12/2010,-0.175,2,9/12/2010,,,,,,
10/12/2010,0.2,1,10/12/2010,,,,,,
11/12/2010,0.15,1,11/12/2010,,,,,,
13/12/2010,0.0725,2,13/12/2010,,,,,,
15/12/2010,0,1,15/12/2010,,,,,,
18/12/2010,-0.060606061,3,18/12/2010,,,,,,
22/12/2010,0.068181818,2,22/12/2010,,,,,,
23/12/2010,0,1,23/12/2010,,,,,,
25/12/2010,0.2,1,25/12/2010,,,,,,
1/01/2011,0.468181818,1,1/01/2011,,,,,,
5/01/2011,0.2,1,5/01/2011,,,,,,
6/01/2011,0.136363636,1,6/01/2011,,,,,,
7/01/2011,0.318181818,2,7/01/2011,,,,,,
8/01/2011,0.068181818,2,8/01/2011,,,,,,
10/01/2011,0.5,1,10/01/2011,,,,,,
12/01/2011,0.136363636,1,12/01/2011,,,,,,
14/01/2011,-0.3,1,14/01/2011,,,,,,
15/01/2011,-0.3,1,15/01/2011,,,,,,
18/01/2011,0,1,18/01/2011,,,,,,
19/01/2011,0.189393939,3,19/01/2011,,,,,,
20/01/2011,0.268181818,2,20/01/2011,,,,,,
22/01/2011,0.216666667,2,22/01/2011,,,,,,
25/01/2011,0.190938228,26,25/01/2011,,,,,,
29/01/2011,0.8,1,29/01/2011,,,,,,
3/02/2011,0.612121212,1,3/02/2011,,,,,,
4/02/2011,0.5,1,4/02/2011,,,,,,
5/02/2011,0.75,1,5/02/2011,,,,,,
7/02/2011,0.068181818,2,7/02/2011,,,,,,
11/02/2011,0.221380471,3,11/02/2011,,,,,,
12/02/2011,0.090909091,1,12/02/2011,,,,,,
14/02/2011,0.020833333,2,14/02/2011,,,,,,
22/02/2011,-0.040909091,1,22/02/2011,,,,,,
23/02/2011,0,1,23/02/2011,,,,,,
26/02/2011,0.125,1,26/02/2011,,,,,,
28/02/2011,0.416666667,1,28/02/2011,,,,,,
3/03/2011,0,1,3/03/2011,,,,,,
4/03/2011,0.312121212,1,4/03/2011,,,,,,
5/03/2011,0,1,5/03/2011,,,,,,
7/03/2011,0.175,2,7/03/2011,,,,,,
9/03/2011,0.1,1,9/03/2011,,,,,,
11/03/2011,0.172979798,4,11/03/2011,,,,,,
12/03/2011,0.45,1,12/03/2011,,,,,,
14/03/2011,-0.2,1,14/03/2011,,,,,,
17/03/2011,0.204924242,2,17/03/2011,,,,,,
19/03/2011,0.45,1,19/03/2011,,,,,,
21/03/2011,0.136363636,1,21/03/2011,,,,,,
26/03/2011,-0.155555556,1,26/03/2011,,,,,,
27/03/2011,0.4,1,27/03/2011,,,,,,
4/04/2011,0,1,4/04/2011,,,,,,
14/05/2011,0,1,14/05/2011,,,,,,
19/05/2011,0.068181818,1,19/05/2011,,,,,,
21/05/2011,0,1,21/05/2011,,,,,,
23/05/2011,0,1,23/05/2011,,,,,,
24/05/2011,0.136363636,1,24/05/2011,,,,,,
30/05/2011,0.268181818,1,30/05/2011,,,,,,
4/06/2011,0.125,1,4/06/2011,,,,,,
8/06/2011,0.136363636,1,8/06/2011,,,,,,
11/06/2011,0.25,1,11/06/2011,,,,,,
13/06/2011,0.136363636,1,13/06/2011,,,,,,
15/06/2011,0,1,15/06/2011,,,,,,
17/06/2011,0.417424242,2,17/06/2011,,,,,,
18/06/2011,0.112121212,1,18/06/2011,,,,,,
19/06/2011,0.3,2,19/06/2011,,,,,,
20/06/2011,0,1,20/06/2011,,,,,,
24/06/2011,0.303571429,1,24/06/2011,,,,,,
25/06/2011,0.533333333,3,25/06/2011,,,,,,
26/06/2011,0,1,26/06/2011,,,,,,
27/06/2011,0.166666667,2,27/06/2011,,,,,,
28/06/2011,0,1,28/06/2011,,,,,,
29/06/2011,0.8,1,29/06/2011,,,,,,
1/07/2011,0.1,1,1/07/2011,,,,,,
2/07/2011,0.166666667,2,2/07/2011,,,,,,
4/07/2011,0.147253788,3,4/07/2011,,,,,,
5/07/2011,0.136363636,1,5/07/2011,,,,,,
7/07/2011,0.05,1,7/07/2011,,,,,,
8/07/2011,0.125,1,8/07/2011,,,,,,
9/07/2011,0.081060606,3,9/07/2011,,,,,,
11/07/2011,0.068181818,2,11/07/2011,,,,,,
12/07/2011,-0.044444444,3,12/07/2011,,,,,,
13/07/2011,0.3375,2,13/07/2011,,,,,,
14/07/2011,-0.131818182,1,14/07/2011,,,,,,
15/07/2011,0.8,1,15/07/2011,,,,,,
17/07/2011,0.218287037,12,17/07/2011,,,,,,
19/07/2011,0.422727273,2,19/07/2011,,,,,,
21/07/2011,0,2,21/07/2011,,,,,,
22/07/2011,-0.049242424,2,22/07/2011,,,,,,
23/07/2011,0.266666667,3,23/07/2011,,,,,,
25/07/2011,0,3,25/07/2011,,,,,,
26/07/2011,0,1,26/07/2011,,,,,,
29/07/2011,0.07487715,37,29/07/2011,,,,,,
30/07/2011,0.1,1,30/07/2011,,,,,,
31/07/2011,0.068181818,2,31/07/2011,,,,,,
1/08/2011,0.215564374,6,1/08/2011,,,,,,
2/08/2011,0.125,2,2/08/2011,,,,,,
4/08/2011,0.216666667,6,4/08/2011,,,,,,
5/08/2011,0.045454545,3,5/08/2011,,,,,,
6/08/2011,0.285714286,1,6/08/2011,,,,,,
8/08/2011,0.136363636,1,8/08/2011,,,,,,
9/08/2011,0.177083333,4,9/08/2011,,,,,,
10/08/2011,0.216666667,1,10/08/2011,,,,,,
11/08/2011,-0.012037037,3,11/08/2011,,,,,,
12/08/2011,-0.077777778,2,12/08/2011,,,,,,
13/08/2011,0,2,13/08/2011,,,,,,
15/08/2011,0.1,1,15/08/2011,,,,,,
18/08/2011,0.392857143,2,18/08/2011,,,,,,
20/08/2011,0,2,20/08/2011,,,,,,
24/08/2011,0.5,1,24/08/2011,,,,,,
25/08/2011,0.4,1,25/08/2011,,,,,,
26/08/2011,0.045454545,3,26/08/2011,,,,,,
27/08/2011,0,2,27/08/2011,,,,,,
28/08/2011,0.136363636,1,28/08/2011,,,,,,
29/08/2011,0.112121212,1,29/08/2011,,,,,,
30/08/2011,0.234090909,2,30/08/2011,,,,,,
31/08/2011,0.033333333,3,31/08/2011,,,,,,
1/09/2011,0.3,1,1/09/2011,,,,,,
2/09/2011,0.125,2,2/09/2011,,,,,,
5/09/2011,0.475744048,3,5/09/2011,,,,,,
6/09/2011,0.2,1,6/09/2011,,,,,,
7/09/2011,-0.021296296,3,7/09/2011,,,,,,
8/09/2011,0.123898423,14,8/09/2011,,,,,,
9/09/2011,0.05,2,9/09/2011,,,,,,
10/09/2011,0,1,10/09/2011,,,,,,
12/09/2011,0.066582492,4,12/09/2011,,,,,,
13/09/2011,0.068181818,2,13/09/2011,,,,,,
14/09/2011,-0.155555556,1,14/09/2011,,,,,,
15/09/2011,0,1,15/09/2011,,,,,,
16/09/2011,0.045454545,3,16/09/2011,,,,,,
17/09/2011,0.233333333,3,17/09/2011,,,,,,
18/09/2011,0.6,1,18/09/2011,,,,,,
19/09/2011,0.019480519,7,19/09/2011,,,,,,
20/09/2011,0.03125,4,20/09/2011,,,,,,
21/09/2011,0.106060606,3,21/09/2011,,,,,,
23/09/2011,0.275,2,23/09/2011,,,,,,
24/09/2011,0,2,24/09/2011,,,,,,
25/09/2011,0.5,1,25/09/2011,,,,,,
26/09/2011,0.303030303,4,26/09/2011,,,,,,
27/09/2011,0.166666667,5,27/09/2011,,,,,,
28/09/2011,0.262337662,7,28/09/2011,,,,,,
29/09/2011,0,3,29/09/2011,,,,,,
30/09/2011,0.080952381,3,30/09/2011,,,,,,
1/10/2011,0,3,1/10/2011,,,,,,
3/10/2011,0,1,3/10/2011,,,,,,
4/10/2011,0.09530303,10,4/10/2011,,,,,,
5/10/2011,0.024147727,4,5/10/2011,,,,,,
6/10/2011,0,2,6/10/2011,,,,,,
7/10/2011,0,2,7/10/2011,,,,,,
8/10/2011,0,1,8/10/2011,,,,,,
9/10/2011,0,1,9/10/2011,,,,,,
10/10/2011,0.041666667,2,10/10/2011,,,,,,
11/10/2011,0,4,11/10/2011,,,,,,
12/10/2011,0.068181818,2,12/10/2011,,,,,,
13/10/2011,0.202777778,3,13/10/2011,,,,,,
14/10/2011,-0.304166667,3,14/10/2011,,,,,,
15/10/2011,0,1,15/10/2011,,,,,,
16/10/2011,-0.031818182,2,16/10/2011,,,,,,
17/10/2011,0.3,1,17/10/2011,,,,,,
18/10/2011,0.175,2,18/10/2011,,,,,,
19/10/2011,0,1,19/10/2011,,,,,,
20/10/2011,0.049318182,10,20/10/2011,,,,,,
21/10/2011,-0.003571429,7,21/10/2011,,,,,,
22/10/2011,0.25,1,22/10/2011,,,,,,
24/10/2011,0.068181818,2,24/10/2011,,,,,,
25/10/2011,0.1125,2,25/10/2011,,,,,,
26/10/2011,0.076623377,7,26/10/2011,,,,,,
27/10/2011,0.2,3,27/10/2011,,,,,,
28/10/2011,0.068181818,2,28/10/2011,,,,,,
29/10/2011,-0.003703704,2,29/10/2011,,,,,,
31/10/2011,0.4,1,31/10/2011,,,,,,
1/11/2011,1,1,1/11/2011,,,,,,
2/11/2011,0.059090909,2,2/11/2011,,,,,,
3/11/2011,-0.003125,4,3/11/2011,,,,,,
4/11/2011,0,2,4/11/2011,,,,,,
5/11/2011,0.078787879,3,5/11/2011,,,,,,
6/11/2011,0,2,6/11/2011,,,,,,
7/11/2011,0.01,5,7/11/2011,,,,,,
8/11/2011,0.4,2,8/11/2011,,,,,,
9/11/2011,0,4,9/11/2011,,,,,,
10/11/2011,0.058333333,6,10/11/2011,,,,,,
11/11/2011,0.112121212,3,11/11/2011,,,,,,
12/11/2011,0.068181818,2,12/11/2011,,,,,,
14/11/2011,0.136363636,1,14/11/2011,,,,,,
15/11/2011,0,1,15/11/2011,,,,,,
16/11/2011,0,2,16/11/2011,,,,,,
17/11/2011,0.136363636,1,17/11/2011,,,,,,
18/11/2011,0.249242424,2,18/11/2011,,,,,,
19/11/2011,0,1,19/11/2011,,,,,,
20/11/2011,0.4,2,20/11/2011,,,,,,
21/11/2011,0.068181818,1,21/11/2011,,,,,,
22/11/2011,0,1,22/11/2011,,,,,,
23/11/2011,0.045454545,3,23/11/2011,,,,,,
24/11/2011,0.0625,2,24/11/2011,,,,,,
25/11/2011,-0.166666667,1,25/11/2011,,,,,,
26/11/2011,-0.008333333,2,26/11/2011,,,,,,
27/11/2011,0,1,27/11/2011,,,,,,
28/11/2011,0,1,28/11/2011,,,,,,
29/11/2011,0.05,2,29/11/2011,,,,,,
30/11/2011,0.207142857,7,30/11/2011,,,,,,
1/12/2011,0,1,1/12/2011,,,,,,
2/12/2011,0.189393939,3,2/12/2011,,,,,,
3/12/2011,0,1,3/12/2011,,,,,,
4/12/2011,-0.166666667,1,4/12/2011,,,,,,
5/12/2011,0,1,5/12/2011,,,,,,
6/12/2011,0.142400794,14,6/12/2011,,,,,,
7/12/2011,-0.025925926,3,7/12/2011,,,,,,
8/12/2011,0,2,8/12/2011,,,,,,
9/12/2011,0.0625,2,9/12/2011,,,,,,
10/12/2011,0,1,10/12/2011,,,,,,
11/12/2011,-0.155555556,1,11/12/2011,,,,,,
12/12/2011,-0.078935185,6,12/12/2011,,,,,,
13/12/2011,-0.15625,1,13/12/2011,,,,,,
14/12/2011,0.136111111,6,14/12/2011,,,,,,
15/12/2011,0.118181818,2,15/12/2011,,,,,,
16/12/2011,0.31875,4,16/12/2011,,,,,,
17/12/2011,0,1,17/12/2011,,,,,,
18/12/2011,0,2,18/12/2011,,,,,,
19/12/2011,0,1,19/12/2011,,,,,,
20/12/2011,1,1,20/12/2011,,,,,,
21/12/2011,0,3,21/12/2011,,,,,,
22/12/2011,-0.030555556,5,22/12/2011,,,,,,
23/12/2011,0.083333333,1,23/12/2011,,,,,,
24/12/2011,0.4,2,24/12/2011,,,,,,
25/12/2011,0.8,1,25/12/2011,,,,,,
26/12/2011,0.5,1,26/12/2011,,,,,,
27/12/2011,0.125,2,27/12/2011,,,,,,
28/12/2011,-0.041666667,3,28/12/2011,,,,,,
29/12/2011,0.068181818,1,29/12/2011,,,,,,
30/12/2011,0,3,30/12/2011,,,,,,
31/12/2011,0.358333333,4,31/12/2011,,,,,,
2/01/2012,0.114141414,4,2/01/2012,,,,,,
3/01/2012,0.125,4,3/01/2012,,,,,,
4/01/2012,0.054000947,8,4/01/2012,,,,,,
5/01/2012,0.087037037,3,5/01/2012,,,,,,
6/01/2012,0.075,4,6/01/2012,,,,,,
7/01/2012,0.100757576,4,7/01/2012,,,,,,
8/01/2012,0.033333333,2,8/01/2012,,,,,,
9/01/2012,0.245454545,1,9/01/2012,,,,,,
10/01/2012,0.4,1,10/01/2012,,,,,,
11/01/2012,0,3,11/01/2012,,,,,,
12/01/2012,0.55625,1,12/01/2012,,,,,,
13/01/2012,0.075,2,13/01/2012,,,,,,
14/01/2012,0.2,2,14/01/2012,,,,,,
15/01/2012,0.1,1,15/01/2012,,,,,,
16/01/2012,0.152380952,5,16/01/2012,,,,,,
17/01/2012,0.7,2,17/01/2012,,,,,,
18/01/2012,0.116666667,3,18/01/2012,,,,,,
19/01/2012,-0.003409091,4,19/01/2012,,,,,,
20/01/2012,0.064583333,4,20/01/2012,,,,,,
21/01/2012,-0.1,2,21/01/2012,,,,,,
22/01/2012,0.1875,4,22/01/2012,,,,,,
23/01/2012,0.016666667,3,23/01/2012,,,,,,
24/01/2012,0.134932197,39,24/01/2012,,,,,,
25/01/2012,0,2,25/01/2012,,,,,,
27/01/2012,0.0375,4,27/01/2012,,,,,,
28/01/2012,0,1,28/01/2012,,,,,,
29/01/2012,0.4,1,29/01/2012,,,,,,
30/01/2012,0.068181818,2,30/01/2012,,,,,,
31/01/2012,0.116666667,3,31/01/2012,,,,,,
